trimestre,bandaancha,bandaangosta,total
01/01/2013 12:00:00 AM,4024063,90301,4114364
02/01/2013 12:00:00 AM,4235438,61120,4296558
04/01/2012 12:00:00 AM,3766560,140325,3906885
02/01/2010 12:00:00 AM,2306812,151840,2458652
03/01/2012 12:00:00 AM,3554920,212411,3767331
02/01/2012 12:00:00 AM,3371398,216205,3587603
02/01/2011 12:00:00 AM,2408666,635925,3044591
03/01/2010 12:00:00 AM,1815810,749509,2565319
01/01/2011 12:00:00 AM,2056485,800746,2857231
04/01/2011 12:00:00 AM,3043674,307864,3351538
04/01/2010 12:00:00 AM,1971477,704071,2675548
01/01/2012 12:00:00 AM,3091399,410156,3501555
03/01/2011 12:00:00 AM,2860599,360349,3220948
01/01/2010 12:00:00 AM,2132640,212219,2344859
