trimestre,internetfijodedicado,internetmovil3g,internetmovil4g,total,porcentajededicadobaa,porcentajemovil3g,porcentajemovil4g
03/01/2012 12:00:00 AM,3621884,2280965,14546,5917395,61.2%,38.5%,0.2%
01/01/2011 12:00:00 AM,2243863,1411021,0,3654884,61.4%,38.6%,0%
03/01/2010 12:00:00 AM,1813115,1000002,0,2813117,64.5%,35.5%,0%
04/01/2010 12:00:00 AM,1963566,1110382,0,3073948,63.9%,36.1%,0%
02/01/2013 12:00:00 AM,4235438,2988962,82812,7307212,58%,40.9%,1.1%
03/01/2011 12:00:00 AM,2938979,1657340,0,4596319,63.9%,36.1%,0%
02/01/2011 12:00:00 AM,2494088,1581635,0,4075723,61.2%,38.8%,0%
02/01/2012 12:00:00 AM,3408177,2073869,20963,5503009,61.9%,37.7%,0.4%
01/01/2012 12:00:00 AM,3316723,1898065,13620,5228408,63.4%,36.3%,0.3%
02/01/2010 12:00:00 AM,1673839,856019,0,2529858,66.2%,33.8%,0%
04/01/2011 12:00:00 AM,3108892,1727941,0,4836833,64.3%,35.7%,0%
01/01/2010 12:00:00 AM,1413579,719050,0,2132629,66.3%,33.7%,0%
04/01/2012 12:00:00 AM,3785395,2315975,36338,6137708,61.7%,37.7%,0.6%
01/01/2013 12:00:00 AM,4013553,2561593,59513,6634659,60.5%,38.6%,0.9%
