trimestre,total,variacion
03/01/2011 12:00:00 AM,5907004,78.46%
01/01/2013 12:00:00 AM,7531911,127.55%
02/01/2012 12:00:00 AM,6657735,101.14%
02/01/2013 12:00:00 AM,8052732,143.29%
04/01/2012 12:00:00 AM,7115944,114.99%
04/01/2011 12:00:00 AM,6140271,85.51%
03/01/2010 12:00:00 AM,4046997,22.27%
01/01/2010 12:00:00 AM,3309952,0%
02/01/2010 12:00:00 AM,3586748,8.36%
02/01/2011 12:00:00 AM,5524069,66.89%
04/01/2010 12:00:00 AM,4384181,32.45%
01/01/2011 12:00:00 AM,5054877,52.72%
01/01/2012 12:00:00 AM,6466167,95.36%
03/01/2012 12:00:00 AM,7057612,113.22%
