trimestre,tipoconexion,conexiones,variacion
03/01/2011 12:00:00 AM,Dem s Conexiones,1310685,11.3%
02/01/2011 12:00:00 AM,Banda Ancha Vive Digital,4075723,91.1%
03/01/2010 12:00:00 AM,Banda Ancha Vive Digital,2813117,31.9%
02/01/2013 12:00:00 AM,Dem s Conexiones,858598,-27.1%
01/01/2011 12:00:00 AM,Banda Ancha Vive Digital,3654884,71.4%
04/01/2012 12:00:00 AM,Dem s Conexiones,978236,-16.9%
04/01/2010 12:00:00 AM,Banda Ancha Vive Digital,3073948,44.1%
03/01/2011 12:00:00 AM,Banda Ancha Vive Digital,4596319,115.5%
02/01/2010 12:00:00 AM,Banda Ancha Vive Digital,2529858,18.6%
01/01/2013 12:00:00 AM,Banda Ancha Vive Digital,6634659,211.1%
04/01/2012 12:00:00 AM,Banda Ancha Vive Digital,6137708,187.8%
02/01/2010 12:00:00 AM,Dem s Conexiones,1056890,-10.2%
02/01/2012 12:00:00 AM,Banda Ancha Vive Digital,5503009,158%
03/01/2012 12:00:00 AM,Banda Ancha Vive Digital,5917395,177.5%
03/01/2010 12:00:00 AM,Dem s Conexiones,1233880,4.8%
01/01/2012 12:00:00 AM,Banda Ancha Vive Digital,5228408,145.2%
01/01/2013 12:00:00 AM,Dem s Conexiones,897935,-23.7%
04/01/2011 12:00:00 AM,Dem s Conexiones,1303438,10.7%
02/01/2013 12:00:00 AM,Banda Ancha Vive Digital,7194134,237.3%
01/01/2010 12:00:00 AM,Banda Ancha Vive Digital,2132629,0%
01/01/2011 12:00:00 AM,Dem s Conexiones,1399993,18.9%
04/01/2011 12:00:00 AM,Banda Ancha Vive Digital,4836833,126.8%
01/01/2010 12:00:00 AM,Dem s Conexiones,1177323,0%
04/01/2010 12:00:00 AM,Dem s Conexiones,1310233,11.3%
03/01/2012 12:00:00 AM,Dem s Conexiones,1119846,-4.9%
02/01/2011 12:00:00 AM,Dem s Conexiones,1446316,22.8%
02/01/2012 12:00:00 AM,Dem s Conexiones,1134355,-3.6%
01/01/2012 12:00:00 AM,Dem s Conexiones,1237371,5.1%
