"Total de suscriptores de internet fijo"
""
"TRIMESTRETOTAL VARIACIÃ“N"
"2010-1T          787        0,00%"
"2010-2T          760       -3,55%"
"2010-3T          700       -8,57%"
"2010-4T          733        4,50%"
"2011-1T          601      -21,96%"
"2011-2T          589       -2,04%"
"2011-3T          584       -0,86%"
"2011-4T          561       -4,10%"
"2012-1T          545       -2,94%"
"2012-2T          724       24,72%"
"2012-3T          720       -0,56%"
"2012-4T          676       -6,51%"
"2013-1T          510      -32,55%"
"2013-2T          512        0,39%"
"2013-3T          487       -5,13%"
"2013-4T          495        1,62%"
"2014-1T          488       -1,43%"
"2014-2T          490        0,41%"
"2014-3T          496        1,21%"
"2014-4T          504        1,59%"
"2015-1T          521        3,26%"
""
"Tabla:Total de suscriptores de internet fijo"
"Internet fijo-"
"Fuente: MINTIC-SIUST"
""
