"Total de suscriptores de internet fijo"
""
"TRIMESTRETOTAL VARIACIÃ“N"
"2010-1T        420787      0,00%"
"2010-2T        451101      6,72%"
"2010-3T        480493      6,12%"
"2010-4T        516171      6,91%"
"2011-1T        565289      8,69%"
"2011-2T        605558      6,65%"
"2011-3T        640486      5,45%"
"2011-4T        671705      4,65%"
"2012-1T        694087      3,22%"
"2012-2T        720790      3,70%"
"2012-3T        739924      2,59%"
"2012-4T        756309      2,17%"
"2013-1T        789849      4,25%"
"2013-2T        818534      3,50%"
"2013-3T        829172      1,28%"
"2013-4T        843502      1,70%"
"2014-1T        864562      2,44%"
"2014-2T        879246      1,67%"
"2014-3T        888736      1,07%"
"2014-4T        892006      0,37%"
"2015-1T        923577      3,42%"
""
"Tabla:Total de suscriptores de internet fijo"
"Internet fijo-"
"Fuente: MINTIC-SIUST"
""
