"Total de suscriptores de internet fijo"
""
"TRIMESTRETOTAL VARIACIÓN"
"2010-1T         61669      0,00%"
"2010-2T         65862      6,37%"
"2010-3T         68603      4,00%"
"2010-4T         71718      4,34%"
"2011-1T         75357      4,83%"
"2011-2T         79645      5,38%"
"2011-3T         84934      6,23%"
"2011-4T         92308      7,99%"
"2012-1T         96093      3,94%"
"2012-2T         98473      2,42%"
"2012-3T        100487      2,00%"
"2012-4T        104152      3,52%"
"2013-1T        109476      4,86%"
"2013-2T        116667      6,16%"
"2013-3T        118507      1,55%"
"2013-4T        121705      2,63%"
"2014-1T        124442      2,20%"
"2014-2T        125564      0,89%"
"2014-3T        128394      2,20%"
"2014-4T        129665      0,98%"
"2015-1T        212220     38,90%"
""
"Tabla:Total de suscriptores de internet fijo"
"Internet fijo-"
"Fuente: MINTIC-SIUST"
""
e: MINTIC-SIUST"
""
