"Total de suscriptores de internet fijo"
""
"TRIMESTRETOTAL VARIACIÓN"
"2010-1T        126876      0,00%"
"2010-2T        133816      5,19%"
"2010-3T        138765      3,57%"
"2010-4T        146157      5,06%"
"2011-1T        155817      6,20%"
"2011-2T        166053      6,16%"
"2011-3T        176075      5,69%"
"2011-4T        183702      4,15%"
"2012-1T        191272      3,96%"
"2012-2T        185874     -2,90%"
"2012-3T        208384     10,80%"
"2012-4T        216280      3,65%"
"2013-1T        227954      5,12%"
"2013-2T        235219      3,09%"
"2013-3T        243359      3,34%"
"2013-4T        248526      2,08%"
"2014-1T        259068      4,07%"
"2014-2T        259762      0,27%"
"2014-3T        265589      2,19%"
"2014-4T        274175      3,13%"
"2015-1T        281978      2,77%"
""
"Tabla:Total de suscriptores de internet fijo"
"Internet fijo-"
"Fuente: MINTIC-SIUST"
""
