"Total de suscriptores de internet fijo"
""
"TRIMESTRETOTAL VARIACIÓN"
"2010-1T        13555       0,00%"
"2010-2T        14355       5,57%"
"2010-3T        14915       3,75%"
"2010-4T        15432       3,35%"
"2011-1T        16634       7,23%"
"2011-2T        18017       7,68%"
"2011-3T        19290       6,60%"
"2011-4T        20031       3,70%"
"2012-1T        21043       4,81%"
"2012-2T        22060       4,61%"
"2012-3T        23448       5,92%"
"2012-4T        24905       5,85%"
"2013-1T        26526       6,11%"
"2013-2T        28887       8,17%"
"2013-3T        30652       5,76%"
"2013-4T        32668       6,17%"
"2014-1T        34052       4,06%"
"2014-2T        36237       6,03%"
"2014-3T        38130       4,96%"
"2014-4T        38295       0,43%"
"2015-1T        40337       5,06%"
""
"Tabla:Total de suscriptores de internet fijo"
"Internet fijo-"
"Fuente: MINTIC-SIUST"
""
