"Total de suscriptores de internet fijo"
""
"TRIMESTRETOTAL VARIACIÓN"
"2010-1T         40768      0,00%"
"2010-2T         44727      8,85%"
"2010-3T         46771      4,37%"
"2010-4T         48571      3,71%"
"2011-1T         53170      8,65%"
"2011-2T         57459      7,46%"
"2011-3T         62286      7,75%"
"2011-4T         64631      3,63%"
"2012-1T         68279      5,34%"
"2012-2T         72183      5,41%"
"2012-3T         78469      8,01%"
"2012-4T         82053      4,37%"
"2013-1T         86913      5,59%"
"2013-2T         91255      4,76%"
"2013-3T         95134      4,08%"
"2013-4T         99166      4,07%"
"2014-1T        104357      4,97%"
"2014-2T        108063      3,43%"
"2014-3T        112112      3,61%"
"2014-4T        117618      4,68%"
"2015-1T        125779      6,49%"
""
"Tabla:Total de suscriptores de internet fijo"
"Internet fijo-"
"Fuente: MINTIC-SIUST"
""
