"Total de suscriptores de internet fijo"
""
"TRIMESTRETOTAL VARIACIÓN"
"2010-1T        227412       0,00%"
"2010-2T        240929       5,61%"
"2010-3T        256270       5,99%"
"2010-4T        268513       4,56%"
"2011-1T        284220       5,53%"
"2011-2T        308347       7,82%"
"2011-3T        337662       8,68%"
"2011-4T        355694       5,07%"
"2012-1T        378122       5,93%"
"2012-2T        398273       5,06%"
"2012-3T        411454       3,20%"
"2012-4T        421322       2,34%"
"2013-1T        447675       5,89%"
"2013-2T        469484       4,65%"
"2013-3T        491343       4,45%"
"2013-4T        502308       2,18%"
"2014-1T        518434       3,11%"
"2014-2T        446433     -16,13%"
"2014-3T        544219      17,97%"
"2014-4T        554136       1,79%"
"2015-1T        583495       5,03%"
""
"Tabla:Total de suscriptores de internet fijo"
"Internet fijo-"
"Fuente: MINTIC-SIUST"
""
