"Total de suscriptores de internet fijo"
""
"TRIMESTRETOTAL VARIACIÓN"
"2010-1T          121        0,00%"
"2010-2T          124        2,42%"
"2010-3T          117       -5,98%"
"2010-4T          261       55,17%"
"2011-1T          72      -262,50%"
"2011-2T          88        18,18%"
"2011-3T          93         5,38%"
"2011-4T          78       -19,23%"
"2012-1T          81         3,70%"
"2012-2T          76        -6,58%"
"2012-3T          69       -10,14%"
"2012-4T          57       -21,05%"
"2013-1T          17      -235,29%"
"2013-2T          25        32,00%"
"2013-3T          24        -4,17%"
"2013-4T           9      -166,67%"
"2014-1T          11        18,18%"
"2014-2T          15        26,67%"
"2014-3T          17        11,76%"
"2014-4T          15       -13,33%"
"2015-1T          43        65,12%"
""
"Tabla:Total de suscriptores de internet fijo"
"Internet fijo-"
"Fuente: MINTIC-SIUST"
""
