"Total de suscriptores de internet fijo"
""
"TRIMESTRETOTAL VARIACIÓN"
"2010-1T          233        0,00%"
"2010-2T          219       -6,39%"
"2010-3T          199      -10,05%"
"2010-4T          621       67,95%"
"2011-1T          130     -377,69%"
"2011-2T          180       27,78%"
"2011-3T          177       -1,69%"
"2011-4T          127      -39,37%"
"2012-1T          106      -19,81%"
"2012-2T          97        -9,28%"
"2012-3T          95        -2,11%"
"2012-4T          78       -21,79%"
"2013-1T          40       -95,00%"
"2013-2T          51        21,57%"
"2013-3T          27       -88,89%"
"2013-4T          52        48,08%"
"2014-1T          55         5,45%"
"2014-2T          51        -7,84%"
"2014-3T          45       -13,33%"
"2014-4T          59        23,73%"
"2015-1T          105       43,81%"
""
"Tabla:Total de suscriptores de internet fijo"
"Internet fijo-"
"Fuente: MINTIC-SIUST"
""
